Country Code,Region,IncomeGroup,Country Name,2020,2021,2022,2023
ABW,Latin America & Caribbean,High income,Aruba,106585.0,106537.0,106445.0,106277.0
AFE,Unknown,Unknown,Africa Eastern and Southern,685112979.0,702977106.0,720859132.0,739108306.0
AFG,South Asia,Low income,Afghanistan,38972230.0,40099462.0,41128771.0,42239854.0
AFW,Unknown,Unknown,Africa Western and Central,466189102.0,478185907.0,490330870.0,502789511.0
AGO,Sub-Saharan Africa,Lower middle income,Angola,33428486.0,34503774.0,35588987.0,36684202.0
ALB,Europe & Central Asia,Upper middle income,Albania,2837849.0,2811666.0,2777689.0,2745972.0
AND,Europe & Central Asia,High income,Andorra,77700.0,79034.0,79824.0,80088.0
ARB,Unknown,Unknown,Arab World,449228296.0,456520777.0,464684914.0,473272080.0
ARE,Middle East & North Africa,High income,United Arab Emirates,9287289.0,9365145.0,9441129.0,9516871.0
ARG,Latin America & Caribbean,Upper middle income,Argentina,45376763.0,45808747.0,46234830.0,46654581.0
ARM,Europe & Central Asia,Upper middle income,Armenia,2805608.0,2790974.0,2780469.0,2777970.0
ASM,East Asia & Pacific,High income,American Samoa,46189.0,45035.0,44273.0,43914.0
ATG,Latin America & Caribbean,High income,Antigua and Barbuda,92664.0,93219.0,93763.0,94298.0
AUS,East Asia & Pacific,High income,Australia,25649248.0,25685412.0,26014399.0,26638544.0
AUT,Europe & Central Asia,High income,Austria,8916864.0,8955797.0,9041851.0,9132383.0
AZE,Europe & Central Asia,Upper middle income,Azerbaijan,10093121.0,10137750.0,10141756.0,10112555.0
BDI,Sub-Saharan Africa,Low income,Burundi,12220227.0,12551213.0,12889576.0,13238559.0
BEL,Europe & Central Asia,High income,Belgium,11538604.0,11586195.0,11685814.0,11822592.0
BEN,Sub-Saharan Africa,Lower middle income,Benin,12643123.0,12996895.0,13352864.0,13712828.0
BFA,Sub-Saharan Africa,Low income,Burkina Faso,21522626.0,22100683.0,22673762.0,23251485.0
BGD,South Asia,Lower middle income,Bangladesh,167420951.0,169356251.0,171186372.0,172954319.0
BGR,Europe & Central Asia,High income,Bulgaria,6934015.0,6877743.0,6465097.0,6430370.0
BHR,Middle East & North Africa,High income,Bahrain,1477469.0,1463265.0,1472233.0,1485509.0
BHS,Latin America & Caribbean,High income,"Bahamas, The",406471.0,407906.0,409984.0,412623.0
BIH,Europe & Central Asia,Upper middle income,Bosnia and Herzegovina,3318407.0,3270943.0,3233526.0,3210847.0
BLR,Europe & Central Asia,Upper middle income,Belarus,9379952.0,9302585.0,9228071.0,9178298.0
BLZ,Latin America & Caribbean,Upper middle income,Belize,394921.0,400031.0,405272.0,410825.0
BMU,North America,High income,Bermuda,63893.0,63764.0,63595.0,63489.0
BOL,Latin America & Caribbean,Lower middle income,Bolivia,11936162.0,12079472.0,12224110.0,12388571.0
BRA,Latin America & Caribbean,Upper middle income,Brazil,213196304.0,214326223.0,215313498.0,216422446.0
BRB,Latin America & Caribbean,High income,Barbados,280693.0,281200.0,281635.0,281995.0
BRN,East Asia & Pacific,High income,Brunei Darussalam,441725.0,445373.0,449002.0,452524.0
BTN,South Asia,Lower middle income,Bhutan,772506.0,777486.0,782455.0,787424.0
BWA,Sub-Saharan Africa,Upper middle income,Botswana,2546402.0,2588423.0,2630296.0,2675352.0
CAF,Sub-Saharan Africa,Low income,Central African Republic,5343020.0,5457154.0,5579144.0,5742315.0
CAN,North America,High income,Canada,38028638.0,38239864.0,38939056.0,40097761.0
CEB,Unknown,Unknown,Central Europe and the Baltics,102180124.0,101413157.0,100108262.0,100156608.0
CHE,Europe & Central Asia,High income,Switzerland,8638167.0,8704546.0,8775760.0,8849852.0
CHI,Europe & Central Asia,High income,Channel Islands,171113.0,172683.0,174079.0,175346.0
CHL,Latin America & Caribbean,High income,Chile,19300315.0,19493184.0,19603733.0,19629590.0
CHN,East Asia & Pacific,Upper middle income,China,1411100000.0,1412360000.0,1412175000.0,1410710000.0
CIV,Sub-Saharan Africa,Lower middle income,Cote d'Ivoire,26811790.0,27478249.0,28160542.0,28873034.0
CMR,Sub-Saharan Africa,Lower middle income,Cameroon,26491087.0,27198628.0,27914536.0,28647293.0
COD,Sub-Saharan Africa,Low income,"Congo, Dem. Rep.",92853164.0,95894118.0,99010212.0,102262808.0
COG,Sub-Saharan Africa,Lower middle income,"Congo, Rep.",5702174.0,5835806.0,5970424.0,6106869.0
COL,Latin America & Caribbean,Upper middle income,Colombia,50930662.0,51516562.0,51874024.0,52085168.0
